term;party
@realDonaldTrump;R
@GovBillWeld;R
@MarkSanford;R
@WalshFreedom;R
@MichaelBennet;D
@JoeBiden;D
@CoryBooker;D
@GovernorBullock;D
@PeteButtigieg;D
@JulianCastro;D
@BilldeBlasio;D
@JohnDelaney;D
@TulsiGabbard;D
@gillbrandny;D
@KamalaHarris;D
@SenKamalaHarris;D
@Hickenlooper;D
@JayInslee;D
@amyklobuchar;D
@SenAmyKlobuchar;D
@WayneMessam;D
@sethmoulton;D
@BetoORourke;D
@TimRyan;D
@BernieSanders;D
@ericswalwell;D
@ewarren;D
@SenWarren;D
@marwilliamson;D
@AndrewYang;D
@JoeSestak;D
@MikeGravel;D
@TomSteyer;D
@DevalPatrick;D
@MikeBloomberg;D
@staceyabrams;D
@SenDuckworth;D
@TammyforIL;D
@KeishaBottoms;D
@RepValDemings;D
@val_demings;D
@AmbassadorRice;D
@GovMLG;D
@Michelle4NM;D
@SenatorBaldwin;D
@tammybaldwin;D
@KarenBassTweets;D
@RepKarenBass;D
@Maggie_Hassan;D
@SenatorHassan;D
@GovRaimondo;D
@GinaRaimondo;D
@GovWhitmer;D
@gretchenwhitmer;D
ballot;N
mailin;N
mail-in;N
mail in;N
donaldtrump;R
donaldjtrump;R
donald j trump;R
donald trump;R
don trump;R
joe biden;D
joebiden;D
biden;D
mike pence;R
michael pence;R
mikepence;R
michaelpence;R
kamala harris;D
kamala;D
kamalaharris;D
 trump;R
#DonaldTrump;R
PresidentTrump;R
MAGA;R
trump2020;R
Sleepy Joe;D
Sleepyjoe;D
HidenBiden;D
CreepyJoeBiden;D
NeverBiden;D
BidenUkraineScandal;D
DumpTrump;R
NeverTrump;R
VoteRed;R
VoteBlue;D
RussiaHoax;D
presidential debate;N
#debates;N
presidentialdebate;N
electoral vote;N
debates2020;N
elections2020;N
ivoted;N
#vote;N
vpdebate;N
vp debate;N
sen. harris;D
sen harris;D
mr. vice president;R
debate2020;N
presidentialdebate2020;N
debatetonight;N
harris;D
bidenharris;D
electionday;N
electionnight;N
election day;N
election night;N
electionresult;N
election result;N
decision2020;N
countallthevotes;R
counteveryvote;R
postelection;N
electoral fraud;R
voter fraud;R
electoralfraud;R
voterfraud;R
exitpoll;N
exit poll;N
sharpiehoax;D
stopthecount;R
stop the count;R
countthevote;R
count the vote;R
count every vote;R
racecall;N
race call;N
46th president;N
president-elect;D
president elect;D
presidentelect;D
presidentbiden;D
president biden;D
vpharris;D
vp harris;D
vpelect;D
vicepresidentelect;D
vicepresident-elect;D
vice president harris;D
vicepresident harris;D
vice-president harris;D
vice president-elect;D
FLOTUS;R
POTUS;R
first lady;R
second gentleman;N
vice president;R
46thpresident;N
joe and kamala;D
kamala and joe;D
@transition46;N
biden-harris;D
buildbackbetter;D
build back better;D
biden cabinet;D
stop the steal;R
stopthesteal;R
bidentransition;D
biden transition;D
trumpconcede;R
trump concede;R
dr. biden;D
drbiden;D
dr.biden;D
transitiontobiden;D
transition to biden biden;D